origin_as,prefix_count,cv_mean_within_as,as_prefix_cv_stddev,as_prefix_cv_range,total_updates
10021,10,0.4027693679975307,0.2881895794326946,0.7553471423362967,10201
10022,16,0.04621612948931683,0.0,0.0,7344
10025,5,0.5636602981296107,0.0,0.0,2095
10029,77,0.6416655449242514,0.3216503613276463,1.014138279841307,51430
1003,5,0.37410674584550296,0.4586234936714012,1.0253072990756746,4724
10030,11,0.6785129595549478,0.29303018816276927,0.9309590908318967,11016
10031,9,0.5218857893745191,0.1632077536835166,0.4896232610505498,10297
10034,3,0.4531125225639335,0.34492863423858894,0.6723468295831302,3508
10075,3,0.3224676873626889,0.46787504177866623,0.8140793948603073,2159
10088,6,0.40384507242805573,0.18392993490600068,0.5133187189139271,7150
10103,3,0.13454748812362258,0.10994701917595023,0.2014479854703472,1543
10111,3,0.3935458340615196,0.4324023873305843,0.8303264356821137,8042
10122,9,0.5353922181765878,0.17247605331562393,0.434799889484635,16818
10137,14,0.34794748998611374,0.3629726475063306,1.1331820658340528,14398
10139,16,0.6142146776222408,0.3423492159065404,0.8391101501181731,33578
10143,8,0.07237770684810774,0.025303889251349784,0.07600839509545373,3192
10174,5,0.9176194870359776,0.0,0.0,3275
10199,3,0.5492916818929462,0.07380075012966536,0.12872442369177794,7393
10204,3,0.4485586543027802,0.3263028842716469,0.6140800293949287,1831
10219,3,0.6396724163073894,0.2689794716420312,0.46588611107703,6607
10229,3,0.11020074909174653,0.05270379405395963,0.09707164303566809,1296
10238,8,0.7542933964885663,0.003577169089584672,0.01011776208278492,27962
1024,3,0.07379022199265228,0.028194613257512196,0.05638916444500916,1046
10269,16,0.5620270678808177,0.24614145912193752,0.8241618492317095,39152
10271,4,0.4848592216378191,0.0,0.0,2408
103,5,0.23581426898851493,0.012819626127200242,0.029206728089379852,1779
10310,9,0.1215058776950298,0.1803124391669139,0.5736111811509694,4811
10349,6,0.01821259882313213,0.0014182870348946762,0.0034740795442968764,2407
10355,14,0.023537917805080622,0.0011748208023392766,0.003235204224651414,6008
10360,3,0.3800337068558073,0.0005078919922131408,0.0009673659565161974,181777
10367,3,0.848528137423857,0.0,0.0,3375
10384,3,0.3984088955807093,0.0,0.0,4611
10392,4,0.2996897754283029,0.2321883405644284,0.47119324921019023,2873
10396,7,0.19505318366489183,0.2572951468796725,0.7029752740651285,15315
10397,16,0.23268815389098735,0.04855948550307996,0.12351009237798563,6546
10420,33,0.4523349587378846,0.22545969669314905,0.6830533085333608,23319
10429,39,0.5520781211803911,0.34622484950404797,1.269585147961416,39540
10436,4,0.7125317345141529,0.23569424764282737,0.5544658219634333,10587
10479,8,0.6226045474841069,0.1702196474321889,0.3425920140353739,5367
10493,4,0.10664662944941661,0.03530037996486567,0.07546694905895429,145120
10560,4,0.48334055494251427,0.3854494194712174,0.8381379921698626,3377
10620,113,0.36709149394848606,0.27273537026452455,0.8948449116157224,120325
10689,4,0.9018817836851791,0.2479823994773494,0.4959647989546988,8002
10725,3,0.8031431130330443,0.1904177089593652,0.32981314657848393,2412
10750,8,0.5587987855467148,0.046417781613567674,0.09433478210487778,10762
10753,16,0.5296894211454909,0.35691114635616933,1.033675087283559,23712
10780,3,0.7630225865603366,0.12570060334523753,0.2508956584152492,4587
10794,17,0.6180673733666557,0.21196220260141657,0.8467443139237472,25912
10796,13,0.5495478864874953,0.23418432964763405,0.6908633994724239,22311
10798,9,0.5993021281113514,0.23993163697323203,0.6568220118090713,32519
10821,26,0.5517662885766175,0.26871325405439617,0.7872505415440695,36570
10843,4,1.1567062470511218,0.0,0.0,5448
10846,6,0.6680221079256939,0.2402275230090733,0.5850759783871057,8050
10849,4,0.6775146015185368,0.17140286263949014,0.3428057252789803,9655
10880,4,0.033258488388179,0.026456459964811104,0.06310719964660089,1667
10882,13,0.40118317003580456,0.027818989206174864,0.10319570496223907,30414
109,42,0.09371496635443186,0.1486651112591535,0.9985398731209176,572030
10954,23,0.5186997981728964,0.392338997554047,0.9065917741643529,46643
10980,10,0.2935160223793217,5.851389114294502e-17,0.0,3180
10982,3,0.15370943284598157,0.19553023824484841,0.3390381855895299,62855
11014,3,0.08002354416486362,0.028257201671777307,0.05651098298934068,1430
11017,3,0.028512370209134982,0.0,0.0,1488
11019,3,0.05194356159270164,0.0032669861144081994,0.00565858593777703,1021
11042,8,0.5756414102522511,0.08372101346473322,0.16176436635869973,12529
11045,4,0.026028470473124447,0.0,0.0,1956
11054,10,0.07851653026917396,0.027472881020105155,0.08417555069817803,4057
11055,3,0.07180638357740086,0.04316580229281579,0.07600839509545373,1062
11067,20,0.27547001237340263,0.2514642666109229,0.633957803822422,20452
11071,3,0.09063731389931749,0.004610329235556391,0.009027723288871109,1475
11086,7,0.15557182218891435,0.13615347497612126,0.3931508000594439,3819
11090,48,0.5257673343316278,0.31480477401989626,1.200722004616898,37843
11097,4,0.7632561685352053,0.15376166879990713,0.3053682069760587,35607
11123,44,0.33308083621974643,0.36071734368736047,0.8924981398226624,10193419
11128,3,0.6417905985122037,0.30696120525174087,0.5719473568488005,10615
11139,3,0.048359701265965054,0.03615061359662691,0.07224362959764882,1079
11158,4,0.17362246511873702,0.19463978623601583,0.3396814256996857,2615
11172,822,0.1038709099535178,0.1492712911450137,0.9771252631493244,357554
11179,3,0.5401992821910622,0.49884891718240937,0.9946865010232557,3728
11192,4,0.2753953620086389,0.002772462457326554,0.005792507396111257,69108
11231,21,0.6803283958724405,1.137640067256873e-16,0.0,32193
11259,169,0.36750429061437645,0.4178520345026754,1.981278549379487,19688797
11272,4,0.23934473017608782,0.3635235533574403,0.739046411602093,3521
11281,3,0.29263669559320676,0.18099096333690526,0.3143210680116284,2439
11293,17,0.5795329434063382,0.09888118405808463,0.33353358642295144,19807
11300,4,0.019658860968053124,0.0014923939430136401,0.0025849021342076763,2158
11315,7,0.4236824719251907,0.15361048310711095,0.4500415216361541,2891
11324,4,0.013055898557268469,0.00175447997655853,0.00350895995311706,1625
11331,11,0.8936727117220218,0.2352387049592318,0.6595084790164114,64955
11333,9,0.4690027503339756,0.00016310718578496056,0.0003698923291153844,35157
