update_count,ecdf
3201292,0.0011876484560570072
3201307,0.0023752969121140144
3201308,0.0035629453681710215
3201311,0.004750593824228029
3201319,0.0059382422802850355
3201334,0.007125890736342043
3201353,0.00831353919239905
3201385,0.009501187648456057
3201387,0.010688836104513063
3201406,0.011876484560570071
3201414,0.013064133016627079
3201426,0.014251781472684086
3201450,0.015439429928741092
3201484,0.0166270783847981
3202013,0.017814726840855107
3202092,0.019002375296912115
3202405,0.020190023752969122
3202603,0.021377672209026127
3202638,0.022565320665083134
3202665,0.023752969121140142
3202691,0.02494061757719715
3202848,0.026128266033254157
3202984,0.027315914489311165
3203318,0.028503562945368172
3203790,0.029691211401425176
3205334,0.030878859857482184
3206102,0.032066508313539195
3206511,0.0332541567695962
3206568,0.0344418052256532
3206595,0.035629453681710214
3206652,0.03681710213776722
3206675,0.03800475059382423
3206680,0.039192399049881234
3206690,0.040380047505938245
3206696,0.04156769596199525
3206696,0.04275534441805225
3206705,0.043942992874109264
3206709,0.04513064133016627
3206714,0.04631828978622328
3206729,0.047505938242280284
3206731,0.048693586698337295
3206739,0.0498812351543943
3206763,0.0510688836104513
3206773,0.052256532066508314
3206784,0.05344418052256532
3206803,0.05463182897862233
3206817,0.055819477434679333
3206819,0.057007125890736345
3206826,0.05819477434679335
3206846,0.05938242280285035
3206847,0.060570071258907364
3206873,0.06175771971496437
3206875,0.06294536817102138
3206911,0.06413301662707839
3206920,0.06532066508313539
3206956,0.0665083135391924
3206999,0.06769596199524941
3207021,0.0688836104513064
3207061,0.07007125890736342
3207081,0.07125890736342043
3207101,0.07244655581947744
3207219,0.07363420427553444
3207220,0.07482185273159145
3208279,0.07600950118764846
3208330,0.07719714964370546
3208370,0.07838479809976247
3208436,0.07957244655581948
3208481,0.08076009501187649
3208546,0.08194774346793349
3208559,0.0831353919239905
3208596,0.08432304038004751
3208616,0.0855106888361045
3208628,0.08669833729216152
3208744,0.08788598574821853
3208752,0.08907363420427554
3208785,0.09026128266033254
3208788,0.09144893111638955
3208792,0.09263657957244656
3208819,0.09382422802850356
3208827,0.09501187648456057
3208905,0.09619952494061758
3208921,0.09738717339667459
3208945,0.09857482185273159
3208988,0.0997624703087886
3209478,0.10095011876484561
3209662,0.1021377672209026
3209724,0.10332541567695962
3210686,0.10451306413301663
3210704,0.10570071258907364
3210821,0.10688836104513064
3210825,0.10807600950118765
3210866,0.10926365795724466
3210869,0.11045130641330166
3210889,0.11163895486935867
3211027,0.11282660332541568
3212704,0.11401425178147269
3212706,0.11520190023752969
3212721,0.1163895486935867
3212724,0.11757719714964371
3212733,0.1187648456057007
3212766,0.11995249406175772
3212787,0.12114014251781473
3212788,0.12232779097387174
3213168,0.12351543942992874
3216355,0.12470308788598575
3216375,0.12589073634204276
3216470,0.12707838479809977
3216535,0.12826603325415678
3216552,0.12945368171021376
3216559,0.13064133016627077
3216573,0.13182897862232779
3216645,0.1330166270783848
3216677,0.1342042755344418
3219878,0.13539192399049882
3222389,0.13657957244655583
3222634,0.1377672209026128
3222852,0.13895486935866982
3223151,0.14014251781472684
3223199,0.14133016627078385
3223457,0.14251781472684086
3227593,0.14370546318289787
3235861,0.14489311163895488
3238050,0.14608076009501186
3243076,0.14726840855106887
3253348,0.14845605700712589
3258751,0.1496437054631829
3259707,0.1508313539192399
3260450,0.15201900237529692
3260458,0.15320665083135393
3260501,0.1543942992874109
3260507,0.15558194774346792
3260525,0.15676959619952494
3260540,0.15795724465558195
3260553,0.15914489311163896
3260560,0.16033254156769597
3260575,0.16152019002375298
3260588,0.16270783847980996
3260613,0.16389548693586697
3260616,0.16508313539192399
3260627,0.166270783847981
3260658,0.167458432304038
3260660,0.16864608076009502
3260667,0.16983372921615203
3260668,0.171021377672209
3260687,0.17220902612826602
3260704,0.17339667458432304
3260715,0.17458432304038005
3260716,0.17577197149643706
3260717,0.17695961995249407
3260725,0.17814726840855108
3260725,0.17933491686460806
3260732,0.18052256532066507
3260736,0.18171021377672208
3260742,0.1828978622327791
3260748,0.1840855106888361
3260757,0.18527315914489312
3260758,0.18646080760095013
3260764,0.1876484560570071
3260769,0.18883610451306412
3260776,0.19002375296912113
3260785,0.19121140142517815
3260791,0.19239904988123516
3260793,0.19358669833729217
3260794,0.19477434679334918
3260797,0.19596199524940616
3260842,0.19714964370546317
3260846,0.19833729216152018
3260865,0.1995249406175772
3260880,0.2007125890736342
3260881,0.20190023752969122
3260881,0.20308788598574823
3260894,0.2042755344418052
3260923,0.20546318289786222
3260926,0.20665083135391923
3260932,0.20783847980997625
3260935,0.20902612826603326
3260935,0.21021377672209027
3260953,0.21140142517814728
3260966,0.21258907363420426
3260980,0.21377672209026127
3261003,0.21496437054631828
3261022,0.2161520190023753
3261025,0.2173396674584323
3261029,0.21852731591448932
3261036,0.21971496437054633
3261041,0.2209026128266033
3261141,0.22209026128266032
3261142,0.22327790973871733
3261143,0.22446555819477435
3261152,0.22565320665083136
3261158,0.22684085510688837
3264862,0.22802850356294538
3264898,0.22921615201900236
3264920,0.23040380047505937
3264938,0.23159144893111638
3264957,0.2327790973871734
3265215,0.2339667458432304
3265240,0.23515439429928742
3265305,0.23634204275534443
3265311,0.2375296912114014
3265319,0.23871733966745842
3265422,0.23990498812351543
3265455,0.24109263657957244
3265458,0.24228028503562946
3265502,0.24346793349168647
3265552,0.24465558194774348
3265560,0.24584323040380046
3265562,0.24703087885985747
3265634,0.24821852731591448
3271582,0.2494061757719715
3272041,0.2505938242280285
3272079,0.2517814726840855
3272086,0.2529691211401425
3272094,0.25415676959619954
3272144,0.25534441805225655
3272151,0.25653206650831356
3272248,0.25771971496437057
3272248,0.2589073634204275
3272269,0.26009501187648454
3272318,0.26128266033254155
3272327,0.26247030878859856
3272333,0.26365795724465557
3272339,0.2648456057007126
3272348,0.2660332541567696
3272390,0.2672209026128266
3272421,0.2684085510688836
3272444,0.2695961995249406
3272454,0.27078384798099764
3272478,0.27197149643705465
3272515,0.27315914489311166
3272518,0.27434679334916867
3272520,0.2755344418052256
3272523,0.27672209026128264
3272532,0.27790973871733965
3272535,0.27909738717339666
3272555,0.28028503562945367
3272563,0.2814726840855107
3272565,0.2826603325415677
3272565,0.2838479809976247
3272570,0.2850356294536817
3272571,0.2862232779097387
3272571,0.28741092636579574
3272576,0.28859857482185275
3272577,0.28978622327790976
3272582,0.29097387173396677
3272585,0.2921615201900237
3272588,0.29334916864608074
3272593,0.29453681710213775
3272598,0.29572446555819476
3272602,0.29691211401425177
3272602,0.2980997624703088
3272602,0.2992874109263658
3272608,0.3004750593824228
3272610,0.3016627078384798
3272610,0.3028503562945368
3272614,0.30403800475059384
3272615,0.30522565320665085
3272615,0.30641330166270786
3272616,0.30760095011876487
3272617,0.3087885985748218
3272618,0.30997624703087884
3272619,0.31116389548693585
3272621,0.31235154394299286
3272621,0.31353919239904987
3272622,0.3147268408551069
3272625,0.3159144893111639
3272625,0.3171021377672209
3272627,0.3182897862232779
3272629,0.3194774346793349
3272630,0.32066508313539194
3272631,0.32185273159144895
3272631,0.32304038004750596
3272632,0.32422802850356297
3272635,0.3254156769596199
3272636,0.32660332541567694
3272636,0.32779097387173395
3272636,0.32897862232779096
3272636,0.33016627078384797
3272641,0.331353919239905
3272641,0.332541567695962
3272643,0.333729216152019
3272643,0.334916864608076
3272644,0.336104513064133
3272644,0.33729216152019004
3272645,0.33847980997624705
3272645,0.33966745843230406
3272645,0.34085510688836107
3272649,0.342042755344418
3272653,0.34323040380047504
3272655,0.34441805225653205
3272658,0.34560570071258906
3272659,0.34679334916864607
3272660,0.3479809976247031
3272661,0.3491686460807601
3272663,0.3503562945368171
3272663,0.3515439429928741
3272665,0.3527315914489311
3272665,0.35391923990498814
3272666,0.35510688836104515
3272667,0.35629453681710216
3272668,0.35748218527315917
3272668,0.3586698337292161
3272671,0.35985748218527314
3272672,0.36104513064133015
3272672,0.36223277909738716
3272676,0.36342042755344417
3272676,0.3646080760095012
3272676,0.3657957244655582
3272677,0.3669833729216152
3272680,0.3681710213776722
3272681,0.3693586698337292
3272683,0.37054631828978624
3272683,0.37173396674584325
3272684,0.37292161520190026
3272685,0.37410926365795727
3272686,0.3752969121140142
3272688,0.37648456057007124
3272688,0.37767220902612825
3272691,0.37885985748218526
3272693,0.38004750593824227
3272698,0.3812351543942993
3272700,0.3824228028503563
3272704,0.3836104513064133
3272707,0.3847980997624703
