update_count,ecdf
27,0.0011876484560570072
77,0.0023752969121140144
86,0.0035629453681710215
86,0.004750593824228029
86,0.0059382422802850355
86,0.007125890736342043
86,0.00831353919239905
88,0.009501187648456057
93,0.010688836104513063
97,0.011876484560570071
99,0.013064133016627079
99,0.014251781472684086
100,0.015439429928741092
101,0.0166270783847981
101,0.017814726840855107
101,0.019002375296912115
102,0.020190023752969122
105,0.021377672209026127
109,0.022565320665083134
112,0.023752969121140142
112,0.02494061757719715
115,0.026128266033254157
115,0.027315914489311165
121,0.028503562945368172
122,0.029691211401425176
123,0.030878859857482184
125,0.032066508313539195
129,0.0332541567695962
133,0.0344418052256532
139,0.035629453681710214
178,0.03681710213776722
187,0.03800475059382423
237,0.039192399049881234
252,0.040380047505938245
255,0.04156769596199525
260,0.04275534441805225
285,0.043942992874109264
286,0.04513064133016627
287,0.04631828978622328
288,0.047505938242280284
288,0.048693586698337295
289,0.0498812351543943
289,0.0510688836104513
289,0.052256532066508314
292,0.05344418052256532
292,0.05463182897862233
293,0.055819477434679333
293,0.057007125890736345
293,0.05819477434679335
293,0.05938242280285035
294,0.060570071258907364
296,0.06175771971496437
296,0.06294536817102138
298,0.06413301662707839
301,0.06532066508313539
303,0.0665083135391924
304,0.06769596199524941
304,0.0688836104513064
305,0.07007125890736342
320,0.07125890736342043
322,0.07244655581947744
323,0.07363420427553444
323,0.07482185273159145
327,0.07600950118764846
328,0.07719714964370546
328,0.07838479809976247
329,0.07957244655581948
330,0.08076009501187649
330,0.08194774346793349
330,0.0831353919239905
330,0.08432304038004751
330,0.0855106888361045
330,0.08669833729216152
330,0.08788598574821853
330,0.08907363420427554
330,0.09026128266033254
331,0.09144893111638955
331,0.09263657957244656
336,0.09382422802850356
338,0.09501187648456057
341,0.09619952494061758
342,0.09738717339667459
343,0.09857482185273159
345,0.0997624703087886
345,0.10095011876484561
345,0.1021377672209026
348,0.10332541567695962
357,0.10451306413301663
375,0.10570071258907364
389,0.10688836104513064
391,0.10807600950118765
391,0.10926365795724466
397,0.11045130641330166
433,0.11163895486935867
434,0.11282660332541568
440,0.11401425178147269
443,0.11520190023752969
445,0.1163895486935867
446,0.11757719714964371
447,0.1187648456057007
447,0.11995249406175772
449,0.12114014251781473
467,0.12232779097387174
486,0.12351543942992874
489,0.12470308788598575
491,0.12589073634204276
491,0.12707838479809977
500,0.12826603325415678
505,0.12945368171021376
506,0.13064133016627077
507,0.13182897862232779
508,0.1330166270783848
508,0.1342042755344418
515,0.13539192399049882
515,0.13657957244655583
521,0.1377672209026128
521,0.13895486935866982
522,0.14014251781472684
522,0.14133016627078385
526,0.14251781472684086
527,0.14370546318289787
528,0.14489311163895488
529,0.14608076009501186
529,0.14726840855106887
530,0.14845605700712589
530,0.1496437054631829
530,0.1508313539192399
531,0.15201900237529692
531,0.15320665083135393
540,0.1543942992874109
545,0.15558194774346792
552,0.15676959619952494
590,0.15795724465558195
625,0.15914489311163896
647,0.16033254156769597
704,0.16152019002375298
765,0.16270783847980996
806,0.16389548693586697
867,0.16508313539192399
1115,0.166270783847981
1141,0.167458432304038
1142,0.16864608076009502
1245,0.16983372921615203
1245,0.171021377672209
1268,0.17220902612826602
1317,0.17339667458432304
1656,0.17458432304038005
1927,0.17577197149643706
1944,0.17695961995249407
1989,0.17814726840855108
1999,0.17933491686460806
2015,0.18052256532066507
2018,0.18171021377672208
2045,0.1828978622327791
2057,0.1840855106888361
2062,0.18527315914489312
2066,0.18646080760095013
2068,0.1876484560570071
2072,0.18883610451306412
2074,0.19002375296912113
2089,0.19121140142517815
2090,0.19239904988123516
2093,0.19358669833729217
2095,0.19477434679334918
2101,0.19596199524940616
2104,0.19714964370546317
2106,0.19833729216152018
2108,0.1995249406175772
2109,0.2007125890736342
2110,0.20190023752969122
2113,0.20308788598574823
2117,0.2042755344418052
2127,0.20546318289786222
2132,0.20665083135391923
2199,0.20783847980997625
2208,0.20902612826603326
2208,0.21021377672209027
