collector,mean_updates_per_6month_bin,percentage_share
rvs.linx,14328802045.0,15.202636782561582
rvs.perth,14301372273.321428,15.173534220145804
rvs.amsix,9052992029.035715,9.605084164093158
rvs3,7711695411.821428,8.181989251821491
rvs4,6217923781.321428,6.597120714782094
rvs2,5673119594.142858,6.019091920101059
rvs.eqix,4511787929.571428,4.786937031986889
rvs6,4113484126.678571,4.364342873349176
rvs.saopaulo2,3988586867.428571,4.231828817983484
rvs.sg,3503719328.714286,3.717391877925394
